2017-09-20 12:29:05 INFO  UserManager:44 - Verifying user by email
2017-09-20 12:29:05 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 12:29:06 INFO  IOManager:147 - Showing WelCome message 
2017-09-20 12:29:06 INFO  ItemManager:52 - Getting all items / product from Database
2017-09-20 12:29:06 INFO  IOManager:157 - Printing list of all items/product
2017-09-20 12:29:14 INFO  ApplicationManager:32 - Placing order
2017-09-20 12:29:58 INFO  IOManager:167 - Getting order from the user
2017-09-20 12:30:23 INFO  ApplicationManager:54 - Inserting order detail in Database
2017-09-20 12:30:35 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 12:32:01 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 12:33:22 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:33:31 INFO  IOManager:93 - Getting email from the user
2017-09-20 12:33:33 INFO  UserManager:44 - Verifying user by email
2017-09-20 12:33:33 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 12:33:34 INFO  IOManager:147 - Showing WelCome message 
2017-09-20 12:33:34 INFO  ItemManager:52 - Getting all items / product from Database
2017-09-20 12:33:34 INFO  IOManager:157 - Printing list of all items/product
2017-09-20 12:33:34 INFO  ApplicationManager:32 - Placing order
2017-09-20 12:33:34 INFO  IOManager:167 - Getting order from the user
2017-09-20 12:33:50 INFO  ApplicationManager:54 - Inserting order detail in Database
2017-09-20 12:33:50 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 12:33:50 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 12:45:29 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:45:38 INFO  IOManager:93 - Getting email from the user
2017-09-20 12:45:55 INFO  UserManager:44 - Verifying user by email
2017-09-20 12:45:55 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 12:45:56 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 12:45:56 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 12:48:17 INFO  IOManager:24 - Displaying Menu
2017-09-20 12:48:25 INFO  IOManager:93 - Getting email from the user
2017-09-20 12:48:27 INFO  UserManager:44 - Verifying user by email
2017-09-20 12:48:27 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 12:48:28 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 12:48:28 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:00:35 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:00:41 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:00:44 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:00:44 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:00:45 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:00:45 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:00:56 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:01:00 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:01:10 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:01:10 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:01:11 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:01:11 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:01:49 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:01:55 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:02:06 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:02:06 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:02:07 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:02:07 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:12:03 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:12:10 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:12:23 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:12:23 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:12:24 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:12:24 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:14:39 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:14:43 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:14:56 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:14:56 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:14:57 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:14:57 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:16:13 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:16:17 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:16:20 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:16:20 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:16:21 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:16:21 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:16:31 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:19:46 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:19:58 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:20:01 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:20:01 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:20:02 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:20:02 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:22:50 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:22:57 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:22:58 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:22:58 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:23:08 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:23:12 INFO  IOManager:93 - Getting email from the user
